kinase,upregulated,downregulated,unregulated,upregulated_enrichment_value,upregulated_enrichment_value_log2,upregulated_p_value,upregulated_p_value_log10_abs,upregulated_adjusted_p_value,upregulated_adjusted_p_value_log10_abs,downregulated_enrichment_value,downregulated_enrichment_value_log2,downregulated_p_value,downregulated_p_value_log10_abs,downregulated_adjusted_p_value,downregulated_adjusted_p_value_log10_abs,dominant_direction,dominant_enrichment_value_log2,dominant_p_value_log10_abs,dominant_adjusted_p_value_log10_abs
AMPKA2,6.0,15.0,146.0,0.3450204818746421,1.5352460859766217,0.999075898537908,0.000401517715846078,1.0,0.0,0.81043330712246,-0.30323462776587445,0.8110843469132163,0.09093397995134836,1.0,0.0,downregulated set,-0.30323462776587445,0.09093397995134836,0.0
ANKRD3,0,4.0,53.0,0,0,1,0,1.0,0.0,0.5967119055500386,-0.7448935331669128,0.8942960568096973,0.04851868416391502,1.0,0.0,downregulated set,-0.7448935331669128,0.04851868416391502,0.0
ASK1,3.0,7.0,69.0,0.3721960675713099,1.4258652821698794,0.9838746371802034,0.0070602347488504455,1.0,0.0,0.8044119533153777,-0.3139935750781485,0.7600238705498416,0.11917276734384627,1.0,0.0,downregulated set,-0.3139935750781485,0.11917276734384627,0.0
ATM,20.0,9.0,120.0,1.47979797979798,0.5654002343426383,0.0792143145827062,1.1011963312572042,0.46157571766461497,0.3357570463896983,0.5868694362017804,-0.7688885194835043,0.960906638276715,0.017318806349070313,1.0,0.0,upregulated set,0.5654002343426383,1.1011963312572042,0.3357570463896983
ATR,8.0,7.0,109.0,0.6289599477450194,0.6689599458740834,0.9284603106372832,0.032236656533387156,1.0,0.0,0.5016373034559282,-0.9952834590484483,0.9807183134863855,0.008455714807216802,1.0,0.0,upregulated set,0.6689599458740834,0.032236656533387156,0.0
AURA,22.0,6.0,112.0,1.7611985472154963,0.8165575593318776,0.016962859665414092,1.7705009308400215,0.13178837124667872,0.8801229093642156,0.4167542016806723,-1.2627313504727615,0.9937731661448294,0.0027127342483298693,1.0,0.0,upregulated set,0.8165575593318776,1.7705009308400215,0.8801229093642156
AURB,9.0,13.0,88.0,0.8862529515938606,0.17420956774791993,0.6834492529097544,0.16529372688908722,1.0,0.0,1.184036309036309,-0.24371332257449924,0.3334565234567897,0.47696078199829156,1.0,0.0,downregulated set,-0.24371332257449924,0.47696078199829156,0.0
AURC,6.0,17.0,92.0,0.5588564238780931,0.8394504078199211,0.9489822801150987,0.02274189686678606,1.0,0.0,1.4967952953614378,-0.5818769291046233,0.09299353348224604,1.0315472500548684,0.5147370506316764,0.28841457022706873,downregulated set,-0.5818769291046233,1.0315472500548684,0.28841457022706873
BCKDK,12.0,15.0,111.0,0.9378821444395214,0.09252145180052171,0.6274765449312097,0.20240250346816696,1.0,0.0,1.0802645545847962,-0.11138466872987153,0.4348624087851613,0.3616481328331214,1.0,0.0,downregulated set,-0.11138466872987153,0.3616481328331214,0.0
BIKE,10.0,37.0,168.0,0.5019776640297813,0.9943049233614661,0.9919988302743576,0.0034888399483327605,1.0,0.0,1.845295885344429,-0.8838521648459261,0.0015744296153478944,2.8028767496665425,0.025108009128969055,1.6001877221170666,downregulated set,-0.8838521648459261,2.8028767496665425,1.6001877221170666
BMPR1A,77.0,12.0,210.0,3.89125,1.9602336716944548,3.177611820194375e-17,16.497899157677523,3.209387938396319e-15,14.493577783894882,0.43575705731394354,-1.198404065144824,0.9992855148244407,0.00031040787326868844,1.0,0.0,upregulated set,1.9602336716944548,16.497899157677523,14.493577783894882
BMPR1B,61.0,11.0,185.0,3.3127533783783782,1.7280308043745214,5.994523705171425e-12,11.222245318058595,1.6512188024244924e-10,9.782195374714515,0.45650665590964096,-1.1312921998962024,0.9980204914699037,0.0008605416375351231,1.0,0.0,upregulated set,1.7280308043745214,11.222245318058595,9.782195374714515
BMPR2,19.0,14.0,104.0,1.6264519876097057,0.7017282350690275,0.04475229493162477,1.349184688826608,0.2711989072856461,0.5667120646603218,1.0757066728452271,-0.1052847327982831,0.4452967600960212,0.3513504647105437,1.0,0.0,upregulated set,0.7017282350690275,1.349184688826608,0.5667120646603218
BRAF,14.0,6.0,94.0,1.308967066919458,0.3884288001176301,0.2182056094945944,0.6611340890307451,1.0,0.0,0.4999374217772215,-1.0001805738835687,0.9744274260804943,0.011250500955252795,1.0,0.0,upregulated set,0.3884288001176301,0.6611340890307451,0.0
BRSK1,17.0,7.0,176.0,0.8310037878787879,0.26707304178886876,0.7948543893736095,0.09971242314669779,1.0,0.0,0.3028124161973719,-1.7235037336220673,0.9999294428641727,3.064365582568582e-05,1.0,0.0,upregulated set,0.26707304178886876,0.09971242314669779,0.0
